"leases","price","likes","year_release","period"
4,1.99,3,2003,364
5,1.99,1,2003,371
4,1.99,2,2003,378
11,1.99,1,2003,384
7,2.99,2,2007,252
7,2.99,1,2007,259
11,2.99,1,2007,266
3,2.99,0,2007,273
13,2.99,2,2006,280
11,2.99,2,2006,287
37,2.99,14,2006,294
11,2.99,0,2006,301
28,2.99,5,2006,308
34,2.99,10,2006,315
26,2.99,9,2006,322
18,2.99,13,2006,329
10,2.99,3,2006,336
6,2.99,3,2006,343
5,2.99,3,2006,350
8,2.99,0,2006,357
11,2.99,11,2009,224
6,2.99,21,2009,231
5,2.99,8,2009,238
10,2.99,12,2009,245
25,1.99,4,2007,224
10,1.99,1,2007,231
12,1.99,1,2007,238
8,1.99,0,2007,245
4,2.99,1,2008,364
2,2.99,2,2008,371
3,2.99,0,2008,378
2,2.99,1,2008,384
39,1.99,2,2001,280
209,1.99,45,2001,287
182,1.99,35,2001,294
145,1.99,38,2001,301
150,1.99,43,2001,308
47,1.99,5,2001,315
45,1.99,7,2001,322
26,1.99,3,2001,329
20,1.99,5,2001,336
29,1.99,7,2001,343
35,1.99,15,2001,350
23,2.49,5,2001,357
0,1.49,0,2006,364
0,1.49,0,2006,371
0,1.49,0,2006,378
2,1.49,1,2006,384
92,1.99,7,2009,280
54,1.99,2,2009,287
40,1.99,5,2009,294
54,1.99,1,2009,301
39,1.99,3,2009,308
45,1.99,5,2009,315
52,1.99,1,2009,322
44,1.99,2,2009,329
102,1.99,18,2010,224
105,1.99,11,2010,231
112,1.99,11,2010,238
84,1.99,12,2010,245
13,1.99,0,2005,308
11,1.99,2,2005,315
71,1.99,20,2005,322
43,1.99,11,2005,329
107,3.99,14,2012,336
59,3.99,8,2012,343
105,3.99,15,2012,350
113,3.99,18,2012,357
64,2.99,29,2011,336
19,2.99,3,2011,343
7,2.99,2,2011,350
7,2.99,4,2011,357
17,1.99,2,2008,252
10,1.99,0,2008,259
9,1.99,1,2008,266
7,1.99,2,2008,273
8,2.99,0,1992,224
7,2.99,0,1992,231
3,2.99,1,1992,238
4,2.99,0,1992,245
72,3.99,13,2012,252
63,3.99,7,2012,259
83,3.99,10,2012,266
67,3.99,7,2012,273
43,3.99,14,2012,224
35,3.99,17,2012,231
24,3.99,12,2012,238
18,3.99,10,2012,245
49,2.99,6,2006,224
47,2.99,1,2006,231
28,2.99,0,2006,238
30,2.99,6,2006,245
0,2.99,0,2010,364
0,2.99,1,2010,371
0,2.99,0,2010,378
0,2.99,0,2010,384
5,2.99,2,2009,224
1,2.99,0,2009,231
1,2.99,1,2009,238
2,2.99,0,2009,245
113,3.99,21,2011,364
109,3.99,26,2011,371
94,3.99,32,2011,378
113,3.99,33,2011,384
0,2.99,0,2007,364
36,2.99,14,2007,371
30,1.99,8,2005,224
20,1.99,1,2005,231
10,1.99,2,2005,238
11,1.99,1,2005,245
21,1.99,3,2005,280
21,1.99,3,2005,287
7,1.99,2,2005,294
10,1.99,4,2005,301
30,1.49,12,2001,252
3,1.49,1,2001,259
1,1.49,1,2001,266
0,1.49,0,2001,273
36,1.99,2,2005,280
23,1.99,0,2005,287
33,1.99,1,2005,294
17,1.99,1,2005,301
101,3.99,12,2012,224
84,3.99,14,2012,231
64,3.99,14,2012,238
82,3.99,7,2012,245
69,3.99,20,2012,252
71,3.99,15,2012,259
83,3.99,12,2012,266
13,3.99,1,2012,273
15,1.49,1,2005,252
13,1.49,0,2005,259
16,1.49,0,2005,266
8,1.49,1,2005,273
6,1.99,1,2002,308
8,1.99,2,2002,315
13,1.99,2,2002,322
4,1.99,3,2002,329
119,3.99,31,2012,280
121,3.99,28,2012,287
194,3.99,59,2012,294
123,3.99,43,2012,301
5,3.99,0,2011,364
3,3.99,0,2011,371
2,3.99,0,2011,378
2,3.99,0,2011,384
2,1.49,0,2006,336
1,1.49,0,2006,343
0,1.49,0,2006,350
0,1.49,0,2006,357
77,3.99,35,2012,371
95,3.99,56,2012,378
137,3.99,98,2012,384
0,3.99,0,0,364
0,3.99,0,0,371
1,3.99,0,0,378
0,3.99,0,0,384
1,1.49,0,2006,308
0,1.49,0,2006,315
0,1.49,0,2006,322
0,1.49,0,2006,329
2,2.99,0,2010,364
1,2.99,0,2010,371
6,2.99,0,2010,378
5,2.99,2,2010,384
10,2.99,0,2010,364
24,2.99,7,2010,371
11,2.99,3,2010,378
11,2.99,0,2010,384
5,3.99,1,2010,224
0,3.99,0,2010,231
0,3.99,0,2010,238
0,3.99,0,2010,245
49,3.99,32,2011,224
39,3.99,35,2011,231
60,3.99,34,2011,238
66,3.99,34,2011,245
10,2.99,2,2000,224
11,2.99,2,2000,231
4,2.99,0,2000,238
2,2.99,1,2000,245
9,2.99,3,1993,224
9,2.99,2,1993,231
12,2.99,3,1993,238
5,2.99,2,1993,245
63,3.99,19,2011,224
70,3.99,21,2011,231
58,3.99,13,2011,238
78,3.99,14,2011,245
86,3.99,16,2011,252
105,3.99,21,2011,259
135,3.99,24,2011,266
113,3.99,14,2011,273
109,3.99,21,2011,280
91,3.99,22,2011,287
62,3.99,17,2011,294
65,3.99,11,2011,301
48,1.99,23,1982,224
52,1.99,16,1982,231
36,1.99,16,1982,238
34,1.99,9,1982,245
12,1.99,4,2007,308
12,1.99,4,2007,315
10,1.99,2,2007,322
13,1.99,2,2007,329
14,3.99,1,2011,280
13,3.99,2,2011,287
13,3.99,2,2011,294
12,3.99,1,2011,301
5,3.99,0,2011,308
6,3.99,2,2011,315
7,3.99,1,2011,322
10,3.99,1,2011,329
8,1.49,2,2005,280
8,1.49,0,2005,287
5,1.49,0,2005,294
7,1.49,0,2005,301
3,1.49,1,2005,336
1,1.49,0,2005,343
1,1.49,0,2005,350
3,1.49,1,2005,357
23,3.99,6,2011,280
31,3.99,2,2011,287
16,3.99,1,2011,294
14,3.99,3,2011,301
9,3.99,1,2011,308
7,3.99,1,2011,315
6,3.99,1,2011,322
12,3.99,1,2011,329
141,2.99,25,2011,224
131,2.99,24,2011,231
74,2.99,21,2011,238
69,2.99,18,2011,245
18,3.99,1,2012,336
13,3.99,3,2012,343
12,3.99,1,2012,350
5,3.99,0,2012,357
9,1.99,2,2008,224
6,1.99,2,2008,231
4,1.99,1,2008,238
5,1.99,2,2008,245
0,2.99,0,2009,364
2,2.99,1,2009,371
2,2.99,0,2009,378
30,2.99,17,2009,384
1,1.49,0,2006,280
1,1.49,0,2006,287
0,1.49,0,2006,294
0,1.49,0,2006,301
7,2.99,1,2009,364
1,2.99,0,2009,371
1,2.99,1,2009,378
4,2.99,4,2009,384
24,2.99,6,2002,336
15,2.99,2,2002,343
4,2.99,0,2002,350
0,2.99,1,2002,357
2,3.99,2,2009,364
4,3.99,0,2009,371
5,3.99,0,2009,378
2,3.99,3,2009,384
48,1.99,4,2009,224
49,1.99,11,2009,231
45,1.99,7,2009,238
29,1.99,6,2009,245
29,1.99,6,2001,224
15,1.99,3,2001,231
19,1.99,6,2001,238
23,1.99,8,2001,245
39,2.99,23,2007,336
81,2.99,43,2007,343
57,2.99,29,2007,350
85,2.99,43,2007,357
64,2.99,33,2007,364
55,2.99,39,2007,371
67,2.99,45,2007,378
46,2.99,37,2007,384
14,2.99,2,2008,336
11,2.99,2,2008,343
3,2.99,0,2008,350
3,2.99,1,2008,357
28,2.99,1,2007,252
12,2.99,1,2007,259
11,2.99,1,2007,266
9,2.99,1,2007,273
52,3.99,12,2007,308
75,3.99,18,2007,315
79,3.99,22,2007,322
39,3.99,10,2007,329
46,3.99,14,2007,336
53,3.99,11,2007,343
56,3.99,24,2007,350
99,3.99,33,2007,357
51,3.99,9,2007,364
8,3.99,1,2007,371
35,3.99,22,2007,378
4,3.99,3,2007,384
21,3.99,7,2009,252
21,3.99,1,2009,259
23,3.99,1,2009,266
23,3.99,0,2009,273
0,1.49,0,2005,364
0,1.49,0,2005,371
1,1.49,0,2005,378
1,1.49,0,2005,384
0,2.99,0,2003,224
0,2.99,0,2003,231
1,2.99,0,2003,238
1,2.99,0,2003,245
216,3.99,63,2011,252
247,3.99,96,2011,259
176,3.99,75,2011,266
143,3.99,62,2011,273
237,3.99,98,2011,280
187,3.99,74,2011,287
109,3.99,38,2011,294
168,3.99,86,2011,301
140,3.99,69,2011,308
103,3.99,42,2011,315
127,3.99,41,2011,322
129,3.99,63,2011,329
74,3.99,13,2011,224
75,3.99,12,2011,231
15,3.99,4,2011,238
11,3.99,0,2011,245
14,3.99,9,2011,252
10,3.99,2,2011,259
20,3.99,3,2011,266
14,3.99,2,2011,273
6,3.99,1,2011,308
8,3.99,2,2011,315
72,3.99,17,2011,322
73,3.99,14,2011,329
17,1.99,3,2009,224
12,1.99,3,2009,231
19,1.99,4,2009,238
18,1.99,4,2009,245
17,1.99,3,2009,252
11,1.99,2,2009,259
19,1.99,5,2009,266
18,1.99,4,2009,273
11,1.99,1,2009,280
20,1.99,6,2009,287
9,1.99,4,2009,294
12,1.99,1,2009,301
3,1.49,0,2005,252
2,1.49,0,2005,259
0,1.49,0,2005,266
2,1.49,0,2005,273
91,3.99,7,2009,308
112,3.99,46,2009,315
57,3.99,20,2009,322
1,3.99,0,2009,329
35,3.99,11,2009,336
27,3.99,11,2009,343
25,3.99,12,2009,350
4,3.99,2,2009,357
28,3.99,7,2009,364
35,3.99,18,2009,371
16,3.99,7,2009,378
17,3.99,12,2009,384
6,1.99,0,2008,280
2,1.99,1,2008,287
6,1.99,1,2008,294
8,1.99,0,2008,301
4,1.99,0,2003,308
7,1.99,0,2003,315
6,1.99,1,2003,322
11,1.99,1,2003,329
15,3.99,1,2012,364
11,3.99,1,2012,371
9,2.99,1,2010,364
3,2.99,1,2010,371
9,2.99,3,2010,378
7,2.99,2,2010,384
14,3.99,1,2012,364
13,3.99,5,2012,371
9,3.99,5,2012,378
5,3.99,3,2012,384
116,1.49,25,2006,280
69,1.49,20,2006,287
51,1.49,15,2006,294
60,1.49,20,2006,301
53,1.49,16,2006,308
11,1.49,1,2006,315
2,1.49,1,2006,322
1,1.49,0,2006,329
4,1.49,0,2005,308
9,1.49,0,2005,315
3,1.49,0,2005,322
2,1.49,0,2005,329
40,3.49,11,2011,224
76,3.49,29,2011,231
52,3.49,23,2011,238
71,3.49,26,2011,245
84,3.49,32,2011,252
99,3.49,37,2011,259
103,3.49,35,2011,266
163,3.49,66,2011,273
127,3.49,48,2011,280
113,3.49,33,2011,287
76,3.49,30,2011,294
79,3.49,28,2011,301
17,1.99,4,2008,224
17,1.99,2,2008,231
7,1.99,2,2008,238
95,1.99,29,2008,245
100,1.99,21,2008,252
74,1.99,20,2008,259
81,1.99,20,2008,266
102,1.99,25,2008,273
1,1.49,0,2006,252
0,1.49,0,2006,259
0,1.49,0,2006,266
0,1.49,0,2006,273
120,3.99,34,2012,224
18,3.99,3,2012,231
66,3.99,18,2012,238
93,3.99,12,2012,245
94,3.99,16,2012,252
89,3.99,14,2012,259
98,3.99,19,2012,266
95,3.99,17,2012,273
4,3.99,1,2011,336
63,3.99,16,2011,343
58,3.99,11,2011,350
64,3.99,32,2011,357
25,1.99,2,2007,224
21,1.99,1,2007,231
29,1.99,2,2007,238
21,1.99,2,2007,245
38,1.99,8,1999,280
14,1.99,3,1999,287
6,1.99,2,1999,294
7,1.99,1,1999,301
1,1.49,0,2007,280
3,1.49,1,2007,287
3,1.49,0,2007,294
2,1.49,1,2007,301
16,2.99,5,2009,252
20,2.99,4,2009,259
24,2.99,7,2009,266
21,2.99,6,2009,273
3,2.99,0,2009,308
61,2.99,15,2009,315
40,2.99,13,2009,322
28,2.99,4,2009,329
39,2.99,13,2009,336
57,2.99,21,2009,343
41,2.99,7,2009,350
33,2.99,17,2009,357
28,2.99,2,2009,364
5,2.99,5,2009,371
42,2.99,14,2009,378
36,2.99,18,2009,384
16,1.99,2,2009,336
12,1.99,4,2009,343
5,1.99,1,2009,350
11,1.99,2,2009,357
184,3.99,22,2012,280
208,3.99,31,2012,287
100,3.99,11,2012,294
116,3.99,17,2012,301
125,3.99,11,2012,308
110,3.99,15,2012,315
158,3.99,29,2012,322
33,3.99,4,2012,329
30,3.99,3,2012,336
47,3.99,3,2012,343
18,3.99,3,2012,350
11,3.99,2,2012,357
1,1.49,1,2003,336
0,1.49,0,2003,343
2,1.49,0,2003,350
0,1.49,0,2003,357
1,2.99,1,1983,336
2,2.99,3,1983,343
1,2.99,1,1983,350
13,2.99,6,1983,357
1,1.99,0,2008,280
4,1.99,1,2008,287
2,1.99,0,2008,294
5,1.99,0,2008,301
5,1.99,0,2003,280
3,1.99,1,2003,287
0,1.99,0,2003,294
1,1.99,0,2003,301
11,3.99,33,2009,224
15,3.99,24,2009,231
21,3.99,25,2009,238
22,3.99,19,2009,245
138,3.99,39,2011,280
149,3.99,54,2011,287
114,3.99,28,2011,294
132,3.99,36,2011,301
78,2.99,24,2008,336
107,2.99,32,2008,343
93,2.99,51,2008,350
96,2.99,44,2008,357
4,1.99,1,2004,308
3,1.99,0,2004,315
3,1.99,0,2004,322
6,1.99,1,2004,329
7,1.99,1,2008,280
8,1.99,0,2008,287
13,1.99,2,2008,294
6,1.99,3,2008,301
10,1.99,0,2008,308
8,1.99,1,2008,315
10,1.99,3,2008,322
4,1.99,1,2008,329
65,1.99,3,2010,252
54,1.99,3,2010,259
63,1.99,2,2010,266
49,1.99,2,2010,273
33,3.99,1,2011,224
76,3.99,23,2011,231
17,3.99,3,2011,238
9,3.99,1,2011,245
17,3.99,3,2011,252
18,3.99,1,2011,259
22,3.99,1,2011,266
22,3.99,1,2011,273
29,2.99,5,2007,252
20,2.99,5,2007,259
26,2.99,6,2007,266
32,2.99,5,2007,273
26,2.99,4,2007,280
46,2.99,5,2007,287
30,2.99,4,2007,294
23,2.99,2,2007,301
51,2.99,13,2010,364
40,2.99,9,2010,371
40,2.99,13,2010,378
51,2.99,19,2010,384
18,3.99,2,2010,308
13,3.99,2,2010,315
9,3.99,2,2010,322
10,3.99,0,2010,329
58,1.99,5,2009,280
33,1.99,1,2009,287
26,1.99,3,2009,294
27,1.99,1,2009,301
5,1.99,0,2009,364
0,1.99,1,2009,371
3,1.99,1,2009,378
4,1.99,0,2009,384
74,1.99,15,2006,308
85,1.99,12,2006,315
80,1.99,21,2006,322
53,1.99,17,2006,329
53,1.99,11,2006,336
42,1.99,18,2006,343
22,1.99,7,2006,350
24,1.99,8,2006,357
11,3.49,1,0,364
11,3.49,3,0,371
8,3.49,4,0,378
6,3.49,2,0,384
3,1.99,0,2006,336
5,1.99,1,2006,343
2,1.99,0,2006,350
1,1.99,1,2006,357
37,3.99,8,2012,336
34,3.99,4,2012,343
18,3.99,2,2012,350
30,3.99,2,2012,371
65,3.99,17,2012,378
114,3.99,34,2012,384
0,3.99,0,2011,364
1,3.99,0,2011,371
3,3.99,0,2011,378
7,3.99,0,2011,384
0,3.99,2,2011,224
0,3.99,1,2011,231
0,3.99,0,2011,238
0,3.99,0,2011,245
80,2.99,53,2010,224
42,2.99,25,2010,231
42,2.99,32,2010,238
7,2.99,7,2010,245
2,2.99,0,2008,308
1,2.99,0,2008,315
4,2.99,0,2008,322
2,2.99,0,2008,329
24,2.99,1,2008,280
5,2.99,0,2008,287
1,2.99,0,2008,294
0,2.99,0,2008,301
100,3.99,26,2011,224
102,3.99,26,2011,231
70,3.99,10,2011,238
83,3.99,24,2011,245
101,3.99,21,2011,252
81,3.99,11,2011,259
118,3.99,27,2011,266
139,3.99,22,2011,273
29,1.99,7,2005,252
20,1.99,0,2005,259
33,1.99,4,2005,266
24,1.99,0,2005,273
1,2.99,0,2009,280
4,2.99,0,2009,287
4,2.99,0,2009,294
6,2.99,0,2009,301
241,3.99,81,2012,252
241,3.99,76,2012,259
261,3.99,69,2012,266
290,3.99,87,2012,273
10,2.99,3,2011,252
10,2.99,2,2011,259
7,2.99,3,2011,266
7,2.99,2,2011,273
2,1.49,0,0,252
0,1.49,0,0,259
0,1.49,0,0,266
0,1.49,0,0,273
26,1.49,16,2004,280
36,1.49,13,2004,287
16,1.49,1,2004,294
4,1.49,1,2004,301
3,1.49,1,2004,308
11,1.49,4,2004,315
7,1.49,1,2004,322
1,1.49,2,2004,329
7,1.49,2,2005,308
7,1.49,0,2005,315
2,1.49,0,2005,322
4,1.49,1,2005,329
9,1.99,2,2001,308
21,1.99,1,2001,315
9,1.99,0,2001,322
12,1.99,1,2001,329
28,1.99,0,2003,252
18,1.99,3,2003,259
27,1.99,2,2003,266
26,1.99,1,2003,273
9,2.99,3,1993,224
3,2.99,4,1993,231
2,2.99,1,1993,238
7,2.99,1,1993,245
22,1.99,5,2004,224
19,1.99,4,2004,231
14,1.99,5,2004,238
17,1.99,1,2004,245
123,3.99,22,2011,252
113,3.99,17,2011,259
140,3.99,17,2011,266
111,3.99,23,2011,273
100,3.99,16,2011,280
78,3.99,9,2011,287
72,3.99,11,2011,294
66,3.99,8,2011,301
71,3.99,14,2011,308
69,3.99,9,2011,315
76,3.99,9,2011,322
48,3.99,3,2011,329
13,3.99,2,2011,336
16,3.99,4,2011,343
8,3.99,1,2011,350
12,3.99,2,2011,357
3,1.99,2,1994,336
6,1.99,5,1994,343
4,1.99,1,1994,350
3,1.99,1,1994,357
195,3.99,32,2011,224
171,3.99,42,2011,231
119,3.99,25,2011,238
140,3.99,23,2011,245
143,3.99,45,2011,252
132,3.99,25,2011,259
183,3.99,36,2011,266
158,3.99,25,2011,273
135,3.99,27,2011,280
134,3.99,32,2011,287
103,3.99,11,2011,294
94,3.99,20,2011,301
33,1.49,11,2004,336
23,1.49,9,2004,343
16,1.49,7,2004,350
26,1.49,10,2004,357
20,1.49,10,2004,364
22,1.49,11,2004,371
19,1.49,6,2004,378
21,1.49,16,2004,384
24,3.49,5,2010,252
14,3.49,0,2010,259
27,3.49,2,2010,266
19,3.49,1,2010,273
21,3.49,1,2010,308
15,3.49,2,2010,315
5,3.49,1,2010,322
7,3.49,0,2010,329
34,3.99,2,2005,280
20,3.99,4,2005,287
6,3.99,0,2005,294
7,3.99,3,2005,301
2,1.99,0,2002,336
2,1.99,0,2002,343
2,1.99,0,2002,350
3,1.99,0,2002,357
1,3.99,0,2011,336
94,3.99,23,2011,343
0,3.99,0,2011,350
3,3.99,0,2011,357
7,1.49,0,2005,252
2,1.49,1,2005,259
10,1.49,0,2005,266
6,1.49,0,2005,273
8,1.99,1,2008,252
9,1.99,1,2008,259
2,1.99,0,2008,266
2,1.99,0,2008,273
133,3.49,22,2011,224
50,3.49,8,2011,231
93,3.49,29,2011,238
72,3.49,23,2011,245
9,1.99,1,2006,308
6,1.99,0,2006,315
3,1.99,0,2006,322
5,1.99,0,2006,329
72,2.99,14,2008,308
86,2.99,24,2008,315
70,2.99,16,2008,322
65,2.99,22,2008,329
58,1.49,16,2008,280
24,1.49,5,2008,287
27,1.49,7,2008,294
24,1.49,8,2008,301
2,1.49,1,2008,308
0,1.49,0,2008,315
0,1.49,0,2008,322
0,1.49,0,2008,329
13,2.99,1,2008,336
11,2.99,3,2008,343
6,2.99,1,2008,350
39,2.99,13,2008,357
7,2.99,1,2008,364
5,2.99,0,2008,371
1,2.99,0,2008,378
6,2.99,0,2008,384
0,2.99,0,2006,364
1,2.99,0,2006,371
3,2.99,2,2006,378
1,2.99,0,2006,384
6,1.99,1,2002,308
10,1.99,0,2002,315
6,1.99,0,2002,322
3,1.99,1,2002,329
40,3.99,10,2011,308
37,3.99,12,2011,315
36,3.99,11,2011,322
55,3.99,21,2011,329
24,1.99,4,2008,224
31,1.99,6,2008,231
20,1.99,2,2008,238
20,1.99,1,2008,245
21,2.99,4,2008,364
12,2.99,0,2008,371
16,2.99,2,2008,378
55,2.99,27,2008,384
14,2.99,1,2010,308
9,2.99,3,2010,315
19,2.99,5,2010,322
69,2.99,28,2010,329
14,2.99,7,2010,336
12,2.99,4,2010,343
3,2.99,1,2010,350
8,2.99,5,2010,357
19,1.99,1,2005,224
6,1.99,1,2005,231
8,1.99,1,2005,238
11,1.99,2,2005,245
66,1.99,9,2006,280
46,1.99,4,2006,287
30,1.99,0,2006,294
39,1.99,5,2006,301
8,1.99,2,2000,280
7,1.99,0,2000,287
1,1.99,1,2000,294
5,1.99,0,2000,301
9,1.99,0,2006,336
8,1.99,3,2006,343
8,1.99,0,2006,350
10,1.99,0,2006,357
20,2.99,4,2008,364
12,2.99,2,2008,371
11,2.99,0,2008,378
6,2.99,2,2008,384
4,2.99,1,2005,364
3,2.99,2,2005,371
0,2.99,0,2005,378
1,2.99,0,2005,384
10,3.49,7,2008,252
10,3.49,5,2008,259
12,3.49,1,2008,266
11,3.49,1,2008,273
63,2.99,29,2008,308
43,2.99,21,2008,315
24,2.99,2,2008,322
11,2.99,3,2008,329
5,3.99,1,2012,364
2,3.99,0,2012,371
2,3.99,0,2012,378
4,3.99,0,2012,384
0,1.49,0,2004,336
0,1.49,0,2004,343
1,1.49,0,2004,350
1,1.49,0,2004,357
10,1.99,1,2006,280
13,1.99,1,2006,287
10,1.99,3,2006,294
9,1.99,2,2006,301
5,1.99,0,2006,308
8,1.99,2,2006,315
8,1.99,0,2006,322
11,1.99,1,2006,329
219,3.99,54,2011,224
166,3.99,36,2011,231
155,3.99,39,2011,238
135,3.99,21,2011,245
171,3.99,37,2011,252
144,3.99,36,2011,259
164,3.99,28,2011,266
152,3.99,27,2011,273
153,3.99,32,2011,280
65,3.99,11,2011,287
35,3.99,5,2011,294
99,3.99,17,2011,301
89,3.99,14,2012,280
117,3.99,8,2012,287
77,3.99,14,2012,294
58,3.99,4,2012,301
58,1.99,16,2006,224
65,1.99,28,2006,231
10,1.99,2,2006,238
11,1.99,0,2006,245
8,1.99,2,2006,252
7,1.99,2,2006,259
15,1.99,8,2006,266
11,1.99,2,2006,273
38,3.99,4,2010,224
33,3.99,1,2010,231
20,3.99,1,2010,238
40,3.99,7,2010,245
33,1.99,20,2006,364
20,1.99,8,2006,371
18,1.99,12,2006,378
27,1.99,13,2006,384
7,1.99,3,2005,252
5,1.99,2,2005,259
6,1.99,0,2005,266
8,1.99,2,2005,273
2,1.99,1,2005,308
0,1.99,0,2005,315
2,1.99,1,2005,322
1,1.99,0,2005,329
4,1.99,0,2003,336
2,1.99,1,2003,343
2,1.99,1,2003,350
5,1.99,0,2003,357
20,2.99,1,2004,252
21,2.99,4,2004,259
26,2.99,4,2004,266
22,2.99,1,2004,273
15,2.99,1,2004,336
18,2.99,8,2004,343
11,2.99,5,2004,350
31,2.99,12,2004,357
8,1.99,4,2008,224
15,1.99,1,2008,231
3,1.99,1,2008,238
13,1.99,1,2008,245
4,3.49,1,2005,308
5,3.49,0,2005,315
6,3.49,0,2005,322
6,3.49,0,2005,329
62,2.99,26,2006,336
86,2.99,37,2006,343
65,2.99,29,2006,350
66,2.99,43,2006,357
101,2.99,51,2006,364
67,2.99,34,2006,371
57,2.99,42,2006,378
44,2.99,31,2006,384
12,1.99,3,1996,252
13,1.99,3,1996,259
19,1.99,2,1996,266
15,1.99,1,1996,273
91,3.99,22,2009,308
106,3.99,29,2009,315
90,3.99,31,2009,322
53,3.99,16,2009,329
66,3.99,22,2009,336
59,3.99,24,2009,343
35,3.99,16,2009,350
53,3.99,23,2009,357
50,2.99,6,2007,280
54,2.99,6,2007,287
44,2.99,9,2007,294
26,2.99,6,2007,301
16,2.99,4,2007,336
19,2.99,4,2007,343
10,2.99,6,2007,350
13,2.99,1,2007,357
8,2.99,2,2007,364
11,2.99,8,2007,371
2,2.99,2,2007,378
28,2.99,2,2007,384
79,3.99,17,2011,308
75,3.99,14,2011,315
120,3.99,40,2011,322
70,3.99,18,2011,329
69,3.99,18,2011,336
57,3.99,23,2011,343
35,3.99,18,2011,350
46,3.99,11,2011,357
39,3.99,14,2011,364
26,3.99,17,2011,371
28,3.99,15,2011,378
35,3.99,17,2011,384
9,2.99,2,2005,364
3,2.99,2,2005,371
7,2.99,0,2005,378
6,2.99,2,2005,384
57,3.99,16,2012,364
60,3.99,32,2012,371
48,3.99,12,2012,378
53,3.99,20,2012,384
40,3.99,37,2010,224
47,3.99,60,2010,231
40,3.99,53,2010,238
48,3.99,61,2010,245
4,1.99,0,2004,336
1,1.99,1,2004,343
1,1.99,0,2004,350
0,1.99,0,2004,357
1,1.49,0,2004,336
1,1.49,0,2004,343
0,1.49,0,2004,350
0,1.49,0,2004,357
5,1.49,3,2005,364
7,1.49,3,2005,371
2,1.49,0,2005,378
1,1.49,0,2005,384
36,1.99,16,2004,252
40,1.99,15,2004,259
47,1.99,20,2004,266
36,1.99,12,2004,273
5,2.99,1,2010,252
4,2.99,0,2010,259
2,2.99,1,2010,266
7,2.99,1,2010,273
2,1.99,0,2000,280
2,1.99,0,2000,287
0,1.99,0,2000,294
1,1.99,0,2000,301
37,1.99,10,2005,336
42,1.99,14,2005,343
32,1.99,7,2005,350
39,1.99,7,2005,357
28,1.99,12,2005,364
25,1.99,12,2005,371
32,1.99,15,2005,378
28,1.99,17,2005,384
11,3.99,0,2010,364
7,3.99,0,2010,371
4,3.99,0,2010,378
2,3.99,2,2010,384
3,3.99,1,0,308
0,3.99,0,0,315
3,3.99,0,0,322
0,3.99,0,0,329
238,3.99,26,2012,252
132,3.99,15,2012,259
137,3.99,19,2012,266
119,3.99,21,2012,273
130,3.99,15,2012,280
105,3.99,19,2012,287
49,3.99,7,2012,294
47,3.99,12,2012,301
22,3.49,7,2011,252
12,3.49,3,2011,259
110,3.49,33,2011,266
77,3.49,12,2011,273
27,1.49,10,2005,364
23,1.49,6,2005,371
14,1.49,6,2005,378
4,1.49,1,2005,384
201,3.99,22,2012,280
190,3.99,27,2012,287
101,3.99,9,2012,294
87,3.99,12,2012,301
9,3.99,1,2012,336
84,3.99,20,2012,343
20,3.99,3,2012,350
11,3.99,0,2012,357
21,2.99,1,2009,252
14,2.99,5,2009,259
20,2.99,2,2009,266
137,2.99,21,2009,273
27,2.99,4,2009,280
18,2.99,3,2009,287
7,2.99,2,2009,294
6,2.99,0,2009,301
138,1.99,9,2008,252
53,1.99,1,2008,259
51,1.99,5,2008,266
58,1.99,3,2008,273
25,1.99,1,2007,308
137,1.99,16,2007,315
85,1.99,7,2007,322
67,1.99,7,2007,329
14,1.99,1,2007,336
17,1.99,1,2007,343
19,1.99,0,2007,350
11,1.99,0,2007,357
